bedrooms,bathrooms,toilets,parking_space,property_type,town,state,total_rooms,price
5,5,6,8,Detached Duplex,Guzape District,Abuja,24,350000000
3,3,3,2,Terraced Bungalow,Maitama District,Abuja,11,75000000
4,4,5,6,Detached Duplex,Port Harcourt,Rivers,19,45000000
4,5,5,3,Semi Detached Duplex,Ikoyi,Lagos,17,270000000
4,5,5,4,Semi Detached Duplex,Mbora (Nbora),Abuja,18,42000000
5,5,6,4,Detached Duplex,Agege,Lagos,20,35000000
4,4,5,5,Detached Duplex,Ikeja,Lagos,18,45000000
2,2,2,4,Block of Flats,Owerri West,Imo,10,30000000
5,6,6,3,Detached Duplex,Lekki,Lagos,20,100000000
5,5,6,5,Detached Duplex,Port Harcourt,Rivers,21,60000000
4,4,5,3,Semi Detached Duplex,Kado,Abuja,16,75000000
3,3,4,3,Detached Bungalow,Mowe Town,Ogun,13,17500000
4,4,5,3,Semi Detached Duplex,Ikoyi,Lagos,16,420000000
5,5,6,4,Semi Detached Duplex,Victoria Island (VI),Lagos,20,210000000
4,5,5,6,Semi Detached Duplex,Lekki,Lagos,20,42000000
4,4,5,2,Terraced Duplexes,Durumi,Abuja,15,70000000
5,6,6,3,Detached Duplex,Lekki,Lagos,20,105000000
5,5,5,4,Detached Duplex,Ajah,Lagos,19,105000000
4,4,5,5,Terraced Duplexes,Karmo,Abuja,18,48000000
5,6,6,6,Detached Duplex,Lekki,Lagos,23,305000000
4,5,5,4,Detached Bungalow,Ibadan North,Oyo,18,15000000
5,5,6,4,Semi Detached Duplex,Jabi,Abuja,20,350000000
7,6,5,4,Detached Duplex,Lekki,Lagos,22,150000000
6,6,7,1,Detached Duplex,Port Harcourt,Rivers,20,100000000
6,5,5,4,Detached Bungalow,Ikeja,Lagos,20,75000000
5,5,5,5,Detached Duplex,Lekki,Lagos,20,150000000
4,4,5,8,Detached Duplex,Gwarinpa,Abuja,21,75000000
6,6,6,8,Detached Duplex,Ibadan,Oyo,26,25000000
6,5,5,4,Detached Bungalow,Ketu,Lagos,20,22000000
2,3,4,4,Terraced Duplexes,Lekki,Lagos,13,25000000
4,4,5,8,Semi Detached Duplex,Apo,Abuja,21,160000000
4,5,5,5,Semi Detached Duplex,Port Harcourt,Rivers,19,80000000
3,3,4,3,Terraced Duplexes,Kubwa,Abuja,13,27500000
3,3,4,2,Block of Flats,Gbagada,Lagos,12,37000000
3,3,4,3,Block of Flats,Lekki,Lagos,13,39000000
4,4,5,4,Semi Detached Duplex,Kubwa,Abuja,17,31500000
3,5,5,4,Detached Duplex,Lekki,Lagos,17,110000000
4,5,5,3,Semi Detached Bungalow,Ajah,Lagos,17,36000000
4,4,5,4,Detached Duplex,Ikeja,Lagos,17,37000000
2,5,5,4,Detached Bungalow,Kaduna North,Kaduna,16,5000000
3,5,5,4,Block of Flats,Victoria Island (VI),Lagos,17,170000000
5,5,5,5,Detached Duplex,Abeokuta South,Ogun,20,90000000
7,5,5,4,Detached Duplex,Alimosho,Lagos,21,25000000
4,4,5,5,Terraced Duplexes,Kado,Abuja,18,105000000
5,5,6,6,Detached Duplex,Karmo,Abuja,22,65000000
5,5,5,4,Detached Duplex,Katampe,Abuja,19,190000000
2,5,3,4,Block of Flats,Lekki,Lagos,14,60000000
1,6,6,7,Detached Duplex,Lugbe District,Abuja,20,38000000
4,5,5,2,Detached Duplex,Isolo,Lagos,16,65000000
6,6,6,1,Detached Duplex,Isheri North,Lagos,19,155000000
5,6,7,4,Detached Duplex,Magodo,Lagos,22,230000000
4,5,5,6,Detached Duplex,Lekki,Lagos,20,45000000
5,5,5,4,Semi Detached Duplex,Guzape District,Abuja,19,95025000
4,4,5,1,Detached Bungalow,Karu,Abuja,14,25000000
6,6,7,6,Detached Duplex,Isheri North,Lagos,25,160000000
5,5,7,1,Detached Duplex,Lekki,Lagos,18,180000000
4,4,5,3,Terraced Bungalow,Ibeju Lekki,Lagos,16,25000000
8,9,1,4,Detached Duplex,Kusada,Katsina,22,6000000
4,4,4,4,Detached Duplex,Ilupeju,Lagos,16,120000000
5,6,7,5,Detached Duplex,Lekki,Lagos,23,112000000
4,5,5,4,Semi Detached Duplex,Durumi,Abuja,18,45000000
5,5,6,4,Detached Duplex,Mabushi,Abuja,20,570000000
5,5,6,4,Detached Duplex,Ajah,Lagos,20,250000000
3,5,5,1,Detached Bungalow,Port Harcourt,Rivers,14,35000000
4,4,5,7,Semi Detached Duplex,Wuye,Abuja,20,150000000
1,1,1,4,Block of Flats,Ibadan,Oyo,7,70000000
3,5,5,4,Block of Flats,Ikeja,Lagos,17,45000000
4,5,5,4,Terraced Duplexes,Mabushi,Abuja,18,150000000
3,4,4,3,Semi Detached Duplex,Ibeju Lekki,Lagos,14,30000000
4,5,5,4,Detached Bungalow,Ibeju Lekki,Lagos,18,22000000
3,4,4,5,Detached Bungalow,Gwarinpa,Abuja,16,50000000
5,5,6,4,Detached Duplex,Magodo,Lagos,20,130000000
5,7,8,4,Detached Duplex,Lekki,Lagos,24,95000000
5,6,7,7,Block of Flats,Abeokuta South,Ogun,25,10000000
4,4,4,8,Detached Duplex,Ajah,Lagos,20,45000000
3,5,5,4,Block of Flats,Oredo,Edo,17,40000000
3,5,5,4,Detached Bungalow,Ijoko,Ogun,17,4000000
3,3,4,3,Block of Flats,Victoria Island (VI),Lagos,13,65000000
4,5,5,4,Detached Bungalow,Ayobo,Lagos,18,12000000
4,4,5,5,Terraced Duplexes,Katampe,Abuja,18,75000000
4,5,6,2,Terraced Duplexes,Lekki,Lagos,17,45000000
8,5,5,4,Block of Flats,Ikeja,Lagos,22,22000000
2,3,3,4,Semi Detached Duplex,Ibeju Lekki,Lagos,12,26000000
5,5,5,3,Semi Detached Duplex,Magboro,Ogun,18,65000000
6,7,7,7,Detached Duplex,Lekki,Lagos,27,8500000
4,4,5,1,Semi Detached Duplex,Maryland,Lagos,14,55000000
5,5,5,4,Detached Duplex,Gwarinpa,Abuja,19,75000000
5,5,6,4,Detached Duplex,Magodo,Lagos,20,55000000
4,4,5,6,Detached Duplex,Lekki,Lagos,19,110000000
2,2,2,4,Detached Bungalow,Badagry,Lagos,10,15000000
1,1,1,4,Block of Flats,Ayobo,Lagos,7,55000000
5,4,6,4,Semi Detached Duplex,Lekki,Lagos,19,150000000
3,3,3,2,Terraced Duplexes,Lokogoma District,Abuja,11,28000000
6,6,7,6,Detached Duplex,Arepo,Ogun,25,135000000
6,5,7,4,Semi Detached Duplex,Wuye,Abuja,22,60000000
6,4,7,4,Detached Duplex,Kado,Abuja,21,300000000
5,5,6,4,Detached Duplex,Lekki,Lagos,20,360000000
4,4,4,3,Semi Detached Duplex,Ibadan,Oyo,15,18000000
5,5,6,5,Detached Duplex,Ikeja,Lagos,21,190000000
6,6,7,4,Detached Duplex,Ikeja,Lagos,23,260000000
5,5,6,2,Detached Duplex,Lokogoma District,Abuja,18,63000000
5,5,6,2,Semi Detached Duplex,Lekki,Lagos,18,90000000
4,3,4,6,Terraced Bungalow,Ibeju Lekki,Lagos,17,25000000
2,3,3,4,Detached Duplex,Lekki,Lagos,12,30000000
5,5,5,4,Block of Flats,Ado-Odo/Ota,Ogun,19,7000000
4,4,5,3,Terraced Duplexes,Guzape District,Abuja,16,45000000
7,7,8,5,Terraced Duplexes,Katampe,Abuja,27,120000000
5,6,6,4,Terraced Duplexes,Guzape District,Abuja,21,120000000
7,5,5,1,Detached Duplex,Ifako-Ijaiye,Lagos,18,25000000
5,8,8,5,Detached Duplex,Lekki,Lagos,26,150000000
4,4,5,4,Semi Detached Duplex,Arepo,Ogun,17,35000000
5,6,5,4,Detached Duplex,Lekki,Lagos,20,125000000
5,5,6,3,Semi Detached Duplex,Ikoyi,Lagos,19,450000000
5,5,5,6,Detached Duplex,Ikeja,Lagos,21,170000000
5,6,5,8,Detached Duplex,Alimosho,Lagos,24,30000000
5,6,7,4,Terraced Duplexes,Lekki,Lagos,22,126000000
3,4,4,3,Terraced Duplexes,Ajah,Lagos,14,55000000
3,3,4,3,Detached Bungalow,Ojodu,Lagos,13,30000000
4,4,4,3,Detached Bungalow,Ipaja,Lagos,15,7500000
4,5,5,5,Detached Duplex,Magodo,Lagos,19,145000000
3,3,4,4,Detached Bungalow,Kurudu,Abuja,14,15000000
2,5,5,4,Block of Flats,Mowe Ofada,Ogun,16,4500000
4,4,5,4,Terraced Duplexes,Ikoyi,Lagos,17,380000000
4,4,4,4,Detached Duplex,Arepo,Ogun,16,50000000
4,4,4,4,Detached Bungalow,Ikorodu,Lagos,16,4500000
4,4,4,4,Detached Duplex,Owerri West,Imo,16,48000000
5,6,6,4,Detached Duplex,Ibeju Lekki,Lagos,21,75000000
3,5,4,4,Terraced Duplexes,Arepo,Ogun,16,37000000
5,5,6,4,Detached Duplex,Victoria Island (VI),Lagos,20,175000000
4,5,4,4,Detached Bungalow,Ibeju Lekki,Lagos,17,39000000
5,7,7,1,Detached Duplex,Gwarinpa,Abuja,20,80000000
3,4,4,4,Terraced Duplexes,Ajah,Lagos,15,55000000
6,6,7,5,Detached Duplex,Gwarinpa,Abuja,24,130000000
4,4,5,3,Semi Detached Duplex,Ibeju Lekki,Lagos,16,33000000
4,6,6,4,Detached Duplex,Yaba,Lagos,20,125000000
4,5,5,4,Detached Duplex,Ibadan,Oyo,18,40000000
3,3,4,3,Detached Bungalow,Ajah,Lagos,13,42000000
5,6,6,4,Terraced Duplexes,Wuse 2,Abuja,21,190000000
4,4,4,2,Semi Detached Bungalow,Karsana,Abuja,14,100000000
3,3,4,2,Detached Duplex,Lekki,Lagos,12,120000000
4,4,5,5,Semi Detached Duplex,Lekki,Lagos,18,100000000
5,5,6,1,Detached Duplex,Ikeja,Lagos,17,150000000
2,2,2,4,Block of Flats,Owerri Municipal,Imo,10,32000000
6,6,7,4,Terraced Duplexes,Lekki,Lagos,23,50000000
4,5,5,4,Terraced Duplexes,Jahi,Abuja,18,70000000
4,5,5,4,Detached Duplex,Ikorodu,Lagos,18,11000000
4,4,5,4,Detached Bungalow,Ikeja,Lagos,17,130000000
5,5,5,4,Detached Duplex,Idu Industrial,Abuja,19,55000000
4,5,5,3,Detached Duplex,Surulere,Lagos,17,56000000
4,5,5,2,Detached Duplex,Lekki,Lagos,16,110000000
4,5,5,4,Terraced Duplexes,Mabushi,Abuja,18,65000000
4,5,6,3,Terraced Duplexes,Lekki,Lagos,18,68000000
4,5,5,2,Terraced Duplexes,Lekki,Lagos,16,49000000
3,3,4,5,Detached Bungalow,Lekki,Lagos,15,33000000
3,3,4,3,Terraced Bungalow,Lekki,Lagos,13,30000000
4,5,5,4,Block of Flats,Ojo,Lagos,18,35000000
4,4,5,4,Semi Detached Duplex,Ajah,Lagos,17,56000000
3,5,5,4,Detached Bungalow,Gwarinpa,Abuja,17,50000000
4,4,5,1,Semi Detached Duplex,Ajah,Lagos,14,28000000
2,2,3,3,Terraced Duplexes,Lekki,Lagos,10,52000000
5,6,7,4,Terraced Duplexes,Asaba,Delta,22,160000000
4,5,6,4,Semi Detached Duplex,Ikoyi,Lagos,19,470000000
9,9,9,4,Detached Duplex,Lekki,Lagos,31,300000000
5,5,5,4,Detached Duplex,Lekki,Lagos,19,85500000
5,6,7,8,Detached Duplex,Port Harcourt,Rivers,26,70000000
5,5,6,2,Detached Duplex,Katampe,Abuja,18,210000000
3,5,5,4,Block of Flats,Lekki,Lagos,17,24000000
6,6,7,4,Detached Duplex,Port Harcourt,Rivers,23,170000000
3,3,4,3,Terraced Duplexes,Diplomatic Zones,Abuja,13,80000000
6,6,7,6,Detached Duplex,Gbagada,Lagos,25,95000000
5,5,6,4,Detached Duplex,Ibeju Lekki,Lagos,20,110000000
3,4,4,5,Detached Bungalow,Lokogoma District,Abuja,16,28000000
3,3,4,3,Semi Detached Bungalow,Ibeju Lekki,Lagos,13,30000000
4,4,5,4,Semi Detached Duplex,Ilupeju,Lagos,17,55000000
5,5,6,4,Semi Detached Duplex,Ikoyi,Lagos,20,285000000
4,4,5,4,Detached Bungalow,Agege,Lagos,17,85000000
3,3,4,2,Block of Flats,Jahi,Abuja,12,40000000
5,5,6,4,Semi Detached Duplex,Lekki,Lagos,20,90000000
4,5,5,4,Detached Duplex,Lugbe District,Abuja,18,40000000
5,5,6,4,Detached Duplex,Ikoyi,Lagos,20,385000000
1,5,5,4,Detached Duplex,Asokoro District,Abuja,15,300000000
4,4,5,6,Detached Bungalow,Kubwa,Abuja,19,35000000
2,2,3,4,Terraced Duplexes,Lekki,Lagos,11,29500000
4,4,5,4,Terraced Duplexes,Ajah,Lagos,17,100000000
1,1,1,2,Block of Flats,Ijoko,Ogun,5,101000000
4,5,5,4,Block of Flats,Ibadan,Oyo,18,15000000
1,1,5,6,Semi Detached Bungalow,Agege,Lagos,13,18000000
3,3,4,3,Terraced Duplexes,Lekki,Lagos,13,70000000
6,8,8,7,Detached Duplex,Isheri,Lagos,29,160000000
3,3,4,5,Detached Duplex,Ikeja,Lagos,15,130000000
3,3,4,6,Terraced Bungalow,Mowe Town,Ogun,16,11500000
5,5,7,6,Detached Duplex,Lekki,Lagos,23,180000000
5,6,6,8,Detached Duplex,Katampe,Abuja,25,250000000
5,5,5,4,Terraced Duplexes,Victoria Island (VI),Lagos,19,120000000
4,5,5,1,Detached Bungalow,Port Harcourt,Rivers,15,27000000
4,4,5,8,Terraced Duplexes,Gwarinpa,Abuja,21,280000000
4,4,4,4,Semi Detached Duplex,Galadimawa,Abuja,16,55000000
5,5,7,7,Detached Duplex,Ikeja,Lagos,24,230000000
2,5,2,4,Block of Flats,Ikeja,Lagos,13,90000000
5,5,6,6,Detached Duplex,Ikeja,Lagos,22,45000000
2,2,3,3,Semi Detached Bungalow,Ibeju Lekki,Lagos,10,12000000
8,1,1,1,Block of Flats,Ajah,Lagos,11,65000000
4,4,5,4,Detached Bungalow,Lugbe District,Abuja,17,22000000
3,3,4,4,Block of Flats,Ajah,Lagos,14,32900000
3,5,5,4,Block of Flats,Lekki,Lagos,17,360000000
3,4,4,3,Terraced Bungalow,Gbagada,Lagos,14,60000000
4,5,4,4,Detached Duplex,Maryland,Lagos,17,90000000
3,3,4,7,Terraced Duplexes,Arepo,Ogun,17,35000000
3,4,4,4,Detached Bungalow,Lokogoma District,Abuja,15,32000000
4,5,5,5,Semi Detached Duplex,Ikoyi,Lagos,19,500000000
4,4,5,5,Semi Detached Duplex,Gwarinpa,Abuja,18,150000000
5,6,7,1,Detached Duplex,Karsana,Abuja,19,125000000
4,4,5,4,Terraced Duplexes,Apo,Abuja,17,40000000
5,6,7,3,Detached Duplex,Lekki,Lagos,21,55000000
4,4,5,4,Detached Duplex,Isheri North,Lagos,17,75000000
4,4,5,2,Terraced Duplexes,Jabi,Abuja,15,47600000
4,5,5,3,Semi Detached Duplex,Lekki,Lagos,17,85000000
4,5,5,4,Detached Bungalow,Magboro,Ogun,18,17000000
5,7,6,6,Detached Duplex,Lekki,Lagos,24,120000000
5,5,6,4,Detached Duplex,Isolo,Lagos,20,80000000
3,3,4,2,Block of Flats,Ajah,Lagos,12,18000000
5,5,6,8,Detached Duplex,Kaura,Abuja,24,150000000
5,6,6,7,Detached Duplex,Lokogoma District,Abuja,24,190000000
3,4,5,4,Terraced Duplexes,Lekki,Lagos,16,40000000
5,5,5,4,Detached Bungalow,Surulere,Lagos,19,90000000
3,3,4,4,Detached Bungalow,Isheri North,Ogun,14,4000000
5,5,6,4,Semi Detached Duplex,Katampe,Abuja,20,150000000
6,6,7,5,Detached Duplex,Ikeja,Lagos,24,250000000
4,4,5,5,Detached Duplex,Ajah,Lagos,18,45000000
5,5,5,6,Semi Detached Duplex,Lekki,Lagos,21,50000000
6,5,6,3,Detached Duplex,Wuye,Abuja,20,170000000
5,5,5,4,Detached Duplex,Lekki,Lagos,19,185000000
4,4,5,4,Semi Detached Duplex,Ajah,Lagos,17,41000000
4,5,5,3,Semi Detached Duplex,Lekki,Lagos,17,100000000
6,6,8,7,Detached Bungalow,Nyanya,Abuja,27,30000000
4,4,4,4,Detached Duplex,Magodo,Lagos,16,40000000
5,5,6,4,Detached Duplex,Ikeja,Lagos,20,185000000
5,6,6,4,Detached Duplex,Ibadan,Oyo,21,90000000
4,5,5,4,Block of Flats,Kurudu,Abuja,18,15000000
3,6,6,3,Semi Detached Bungalow,Ibeju Lekki,Lagos,18,30000000
4,4,5,4,Detached Duplex,Lekki,Anambara,17,130000000
4,4,5,4,Terraced Duplexes,Apo,Abuja,17,23000000
3,2,2,4,Detached Bungalow,Ibadan,Oyo,11,22000000
2,3,3,4,Terraced Duplexes,Lokogoma District,Abuja,12,30000000
6,6,7,3,Detached Duplex,Guzape District,Abuja,22,300000000
3,5,5,4,Block of Flats,Kurudu,Abuja,17,60000000
3,3,4,2,Terraced Duplexes,Lekki,Lagos,12,50000000
6,5,5,3,Detached Bungalow,Ikeja,Lagos,19,19000000
6,8,8,4,Detached Duplex,Isheri North,Lagos,26,150000000
9,6,6,4,Block of Flats,Ibadan,Oyo,25,130000000
1,5,5,3,Block of Flats,Lekki,Lagos,14,30000000
2,5,5,4,Terraced Duplexes,Lekki,Lagos,16,78000000
2,5,5,4,Detached Bungalow,Agege,Lagos,16,8500000
4,7,5,6,Detached Duplex,Life Camp,Abuja,22,90000000
5,5,7,4,Detached Bungalow,Galadimawa,Abuja,21,85000000
7,5,5,4,Detached Duplex,Amuwo Odofin,Lagos,21,250000000
3,3,4,5,Detached Bungalow,Simawa,Ogun,15,19500000
2,2,2,3,Detached Bungalow,Mowe Ofada,Ogun,9,7000000
4,4,5,6,Detached Duplex,Owerri Municipal,Imo,19,65000000
3,4,4,4,Semi Detached Duplex,Ajah,Lagos,15,45000000
4,4,6,6,Detached Duplex,Lekki,Lagos,20,125000000
3,3,4,4,Terraced Duplexes,Ajah,Lagos,14,26000000
4,4,5,4,Detached Duplex,Lekki,Lagos,17,49000000
4,5,5,4,Block of Flats,Agege,Lagos,18,12000000
3,5,5,4,Detached Bungalow,Mowe Ofada,Ogun,17,18000000
5,5,6,4,Detached Duplex,Guzape District,Abuja,20,160000000
5,5,6,8,Detached Duplex,Lekki,Lagos,24,93000000
3,5,5,4,Block of Flats,Port Harcourt,Rivers,17,40000000
4,5,5,4,Semi Detached Duplex,Yaba,Lagos,18,55000000
5,5,5,1,Detached Duplex,Lekki,Lagos,16,180000000
4,5,6,4,Semi Detached Duplex,Lekki,Lagos,19,48000000
5,5,7,9,Detached Duplex,Ikeja,Lagos,26,230000000
4,5,5,4,Block of Flats,Port Harcourt,Rivers,18,220000000
3,3,3,4,Detached Bungalow,Ikorodu,Lagos,13,18000000
4,5,5,4,Semi Detached Duplex,Enugu,Enugu,18,130000000
6,6,7,4,Detached Duplex,Victoria Island (VI),Lagos,23,460000000
3,1,1,4,Block of Flats,Ibadan,Oyo,9,90000000
4,5,5,4,Block of Flats,Ikorodu,Lagos,18,20000000
5,5,6,7,Detached Duplex,Lekki,Lagos,23,55000000
2,3,4,4,Detached Bungalow,Ibadan,Oyo,13,22000000
4,4,5,6,Detached Duplex,Lekki,Lagos,19,300000000
3,3,3,8,Block of Flats,Ibafo,Ogun,17,15000000
4,5,6,4,Detached Duplex,Lekki,Lagos,19,250000000
4,4,4,4,Detached Duplex,Victoria Island (VI),Lagos,16,220000000
4,4,5,3,Detached Duplex,Lekki,Lagos,16,87000000
4,4,5,5,Semi Detached Duplex,Durumi,Abuja,18,300000000
4,4,5,3,Detached Duplex,Lekki,Lagos,16,79000000
4,4,4,4,Detached Duplex,Ilupeju,Lagos,16,95000000
6,6,7,4,Detached Duplex,Galadimawa,Abuja,23,80000000
4,4,5,4,Detached Bungalow,Enugu,Enugu,17,20000000
3,3,3,3,Detached Duplex,Ibeju Lekki,Lagos,12,55000000
5,5,5,4,Detached Duplex,Gwarinpa,Abuja,19,250000000
6,4,4,4,Detached Duplex,Ibadan,Oyo,18,40000000
4,5,5,4,Detached Duplex,Lugbe District,Abuja,18,50000000
3,3,3,4,Detached Bungalow,Ibadan,Oyo,13,13500000
3,2,3,4,Detached Bungalow,Ajah,Lagos,12,27000000
3,3,4,2,Terraced Bungalow,Mowe Ofada,Ogun,12,11500000
4,5,5,4,Block of Flats,Ipaja,Lagos,18,35000000
4,5,6,4,Terraced Duplexes,Mabushi,Abuja,19,75000000
5,5,6,5,Semi Detached Bungalow,Victoria Island (VI),Lagos,21,250000000
4,5,5,1,Detached Duplex,Ajah,Lagos,15,38000000
3,5,5,4,Block of Flats,Ikoyi,Lagos,17,175000000
3,5,5,4,Block of Flats,Enugu,Enugu,17,50000000
4,4,4,6,Detached Bungalow,Ibafo,Ogun,18,30000000
2,3,4,4,Detached Bungalow,Ifo,Ogun,13,17000000
5,5,6,8,Detached Duplex,Ikeja,Lagos,24,280000000
5,5,6,6,Detached Duplex,Gaduwa,Abuja,22,250000000
5,6,7,6,Detached Duplex,Lekki,Lagos,24,165000000
4,3,4,2,Block of Flats,Life Camp,Abuja,13,27000000
4,4,5,7,Semi Detached Duplex,Apo,Abuja,20,70000000
5,6,6,5,Semi Detached Duplex,Victoria Island (VI),Lagos,22,250000000
4,4,5,8,Detached Bungalow,Port Harcourt,Rivers,21,40000000
4,4,6,4,Terraced Duplexes,Lekki,Lagos,18,135000000
3,3,4,6,Detached Bungalow,Ajah,Lagos,16,28000000
5,5,7,8,Detached Duplex,Ikeja,Lagos,25,250000000
3,3,4,3,Terraced Duplexes,Jabi,Abuja,13,70000000
5,5,6,7,Detached Duplex,Lekki,Lagos,23,268000000
6,5,5,4,Detached Duplex,Ikeja,Lagos,20,381640000
4,5,5,4,Detached Bungalow,Enugu,Enugu,18,35000000
5,6,6,7,Detached Duplex,Ibeju Lekki,Lagos,24,130000000
5,5,6,7,Detached Duplex,Magodo,Lagos,23,150000000
4,4,4,4,Detached Bungalow,Ikeja,Lagos,16,20000000
4,4,4,4,Detached Bungalow,Ibadan,Oyo,16,7500000
4,5,5,4,Semi Detached Duplex,Ibadan,Oyo,18,70000000
7,9,9,1,Detached Duplex,Lekki,Lagos,26,475000000
5,5,5,4,Terraced Duplexes,Life Camp,Abuja,19,400000000
3,5,5,4,Detached Bungalow,Lekki,Lagos,17,60000000
3,3,3,6,Block of Flats,Ikeja,Lagos,15,60000000
2,2,3,4,Semi Detached Bungalow,Mowe Ofada,Ogun,11,7000000
3,3,4,3,Detached Bungalow,Lekki,Lagos,13,33000000
4,5,5,4,Detached Bungalow,Lokogoma District,Abuja,18,14500000
5,5,6,3,Terraced Duplexes,Lekki,Lagos,19,128000000
4,5,4,4,Terraced Duplexes,Lekki,Lagos,17,45000000
7,5,5,4,Detached Duplex,Victoria Island (VI),Lagos,21,550000000
5,5,6,5,Detached Duplex,Port Harcourt,Rivers,21,40000000
3,3,4,3,Terraced Duplexes,Lekki,Lagos,13,34000000
4,4,4,6,Semi Detached Bungalow,Agege,Lagos,18,35000000
4,6,7,1,Detached Duplex,Lekki,Lagos,18,120000000
1,5,5,1,Detached Bungalow,Ikorodu,Lagos,12,10000000
3,3,4,4,Semi Detached Duplex,Ajah,Lagos,14,40000000
3,4,4,6,Block of Flats,Agege,Lagos,17,45000000
7,8,8,1,Detached Duplex,Lekki,Lagos,24,200000000
3,5,4,4,Detached Bungalow,Akinyele,Oyo,16,14000000
6,6,6,4,Detached Duplex,Ikeja,Lagos,22,500000000
6,6,7,1,Detached Duplex,Isheri North,Lagos,20,130000000
3,3,4,1,Detached Bungalow,Surulere,Lagos,11,80000000
2,2,3,3,Terraced Bungalow,Ibeju Lekki,Lagos,10,7875000
4,5,5,6,Detached Duplex,Apo,Abuja,20,70000000
4,4,4,4,Detached Duplex,Lekki,Lagos,16,50000000
3,3,4,3,Block of Flats,Ikoyi,Lagos,13,200000000
4,5,5,4,Block of Flats,Enugu,Enugu,18,20000000
4,5,5,6,Detached Duplex,Ajah,Lagos,20,80000000
3,2,2,5,Detached Bungalow,Alimosho,Lagos,12,10000000
2,3,3,6,Block of Flats,Isolo,Lagos,14,60000000
5,5,5,7,Detached Bungalow,Uyo,Akwa Ibom,22,25000000
4,4,5,4,Detached Bungalow,Enugu,Enugu,17,45000000
4,4,5,2,Terraced Duplexes,Lekki,Lagos,15,67000000
4,5,5,4,Block of Flats,Alimosho,Lagos,18,32000000
5,5,6,3,Detached Duplex,Utako,Abuja,19,200000000
5,5,7,6,Detached Duplex,Lekki,Lagos,23,300000000
4,4,4,5,Terraced Bungalow,Lekki,Lagos,17,60000000
4,5,5,8,Detached Duplex,Lekki,Lagos,22,145000000
4,5,5,4,Terraced Duplexes,Jahi,Abuja,18,110000000
6,5,5,4,Detached Duplex,Isheri North,Lagos,20,145000000
5,5,5,4,Detached Duplex,Ikoyi,Lagos,19,340000000
4,4,5,2,Terraced Duplexes,Lekki,Lagos,15,63000000
4,4,5,6,Detached Bungalow,Ikorodu,Lagos,19,8000000
4,5,5,4,Detached Duplex,Life Camp,Abuja,18,55000000
2,2,3,4,Terraced Duplexes,Lekki,Lagos,11,78000000
4,4,4,2,Terraced Duplexes,Lekki,Lagos,14,36000000
3,5,5,4,Block of Flats,Oredo,Edo,17,10000000
3,3,4,3,Semi Detached Duplex,Ibeju Lekki,Lagos,13,37000000
5,5,6,4,Semi Detached Duplex,Ikoyi,Lagos,20,300000000
3,3,4,4,Detached Bungalow,Lokogoma District,Abuja,14,25000000
5,5,6,4,Terraced Duplexes,Life Camp,Abuja,20,85000000
6,6,7,7,Detached Duplex,Lekki,Lagos,26,275000000
2,4,3,3,Semi Detached Bungalow,Mowe Ofada,Ogun,12,7000000
5,6,6,4,Terraced Duplexes,Kaura,Abuja,21,85000000
3,5,4,3,Detached Bungalow,Kuje,Abuja,15,20000000
4,5,6,4,Semi Detached Duplex,Ikoyi,Lagos,19,230000000
5,5,5,4,Detached Duplex,Gwarinpa,Abuja,19,90000000
4,4,5,4,Semi Detached Duplex,Life Camp,Abuja,17,55000000
3,2,2,4,Detached Bungalow,Ifako-Ijaiye,Lagos,11,30000000
4,4,5,2,Semi Detached Duplex,Ikoyi,Lagos,15,235000000
4,5,5,5,Semi Detached Duplex,Port Harcourt,Rivers,19,45000000
5,6,6,3,Detached Duplex,Ajah,Lagos,20,74000000
5,5,6,1,Detached Duplex,Lekki,Lagos,17,75000000
4,4,5,4,Detached Duplex,Isheri North,Ogun,17,16000000
6,6,7,9,Detached Duplex,Lekki,Lagos,28,170000000
5,6,7,4,Detached Duplex,Lekki,Lagos,22,250000000
3,3,4,6,Semi Detached Bungalow,Kaura,Abuja,16,65000000
3,3,4,3,Detached Bungalow,Ibadan,Oyo,13,30000000
4,5,5,4,Detached Duplex,Ibadan South-West,Oyo,18,35000000
7,5,5,4,Detached Duplex,Asokoro District,Abuja,21,360000000
4,5,5,5,Detached Duplex,Lekki,Lagos,19,90000000
2,2,3,1,Detached Bungalow,Ajah,Lagos,8,24000000
4,5,4,4,Semi Detached Duplex,Lekki,Lagos,17,52000000
3,1,1,4,Block of Flats,Ojodu,Lagos,9,40000000
6,5,5,4,Detached Duplex,Gwarinpa,Abuja,20,280000000
4,4,4,4,Detached Duplex,Ajah,Lagos,16,42000000
3,3,4,4,Detached Bungalow,Dei-Dei,Abuja,14,18000000
5,6,6,5,Detached Duplex,Lekki,Lagos,22,295000000
3,2,3,2,Detached Bungalow,Ajah,Lagos,10,27000000
5,5,6,3,Semi Detached Duplex,Ikoyi,Lagos,19,320000000
3,2,2,8,Detached Bungalow,Ipaja,Lagos,15,16500000
5,5,5,4,Semi Detached Duplex,Lekki,Lagos,19,150000000
5,6,5,5,Detached Duplex,Lekki,Lagos,21,160000000
3,3,4,1,Detached Bungalow,Lekki,Lagos,11,11000000
4,4,4,4,Semi Detached Duplex,Ajah,Lagos,16,53000000
4,4,5,3,Terraced Duplexes,Ikoyi,Lagos,16,210000000
