bedrooms,bathrooms,toilets,parking_space,property_type,town,state,total_rooms,price
2,2,2,4,Terraced Duplexes,Ajah,Lagos,10,38000000
4,4,5,4,Detached Duplex,Ajah,Lagos,17,59000000
5,5,5,8,Detached Duplex,Ajah,Lagos,23,37000000
5,5,6,4,Semi Detached Duplex,Victoria Island (VI),Lagos,20,230000000
7,7,7,8,Detached Duplex,Lekki,Lagos,29,380000000
5,5,5,6,Detached Duplex,Lekki,Lagos,21,280000000
3,3,3,4,Block of Flats,Isolo,Lagos,13,50000000
6,6,7,8,Detached Duplex,Lekki,Lagos,27,410000000
5,6,6,4,Detached Duplex,Port Harcourt,Rivers,21,250000000
3,4,4,5,Block of Flats,Garki,Abuja,16,450000000
3,3,4,4,Detached Bungalow,Magboro,Ogun,14,28000000
3,3,4,3,Semi Detached Bungalow,Isheri North,Ogun,13,12000000
4,4,6,4,Semi Detached Duplex,Victoria Island (VI),Lagos,18,100000000
7,7,6,3,Detached Duplex,Lekki,Lagos,23,320000000
9,8,8,4,Detached Duplex,Oredo,Edo,29,45000000
3,3,3,4,Detached Bungalow,Ipaja,Lagos,13,15000000
5,5,5,4,Detached Duplex,Galadimawa,Abuja,19,180000000
3,4,4,3,Terraced Duplexes,Lekki,Lagos,14,70000000
3,3,3,4,Detached Bungalow,Lekki,Lagos,13,34000000
4,5,5,4,Block of Flats,Aba,Abia,18,30000000
3,3,4,3,Terraced Duplexes,Lekki,Lagos,13,430000000
5,7,7,4,Detached Duplex,Lekki,Lagos,23,94000000
2,2,2,2,Block of Flats,Ikorodu,Lagos,8,12000000
5,5,6,4,Semi Detached Duplex,Lekki,Lagos,20,265000000
5,5,6,4,Detached Duplex,Galadimawa,Abuja,20,35000000
3,2,2,4,Detached Bungalow,Surulere,Lagos,11,30000000
4,5,5,4,Detached Duplex,Magodo,Lagos,18,200000000
4,4,5,4,Terraced Duplexes,Katampe,Abuja,17,120000000
5,5,6,5,Detached Bungalow,Ojodu,Lagos,21,60000000
1,1,1,1,Detached Duplex,Magodo,Lagos,4,160000000
4,4,5,5,Detached Duplex,Lekki,Lagos,18,68000000
4,4,5,4,Terraced Duplexes,Ikoyi,Lagos,17,150000000
4,5,5,4,Block of Flats,Surulere,Lagos,18,65000000
6,6,7,1,Detached Duplex,Guzape District,Abuja,20,350000000
5,6,6,2,Terraced Duplexes,Gwarinpa,Abuja,19,60000000
2,3,3,4,Terraced Duplexes,Gwarinpa,Abuja,12,65000000
4,5,5,4,Semi Detached Duplex,Ikoyi,Lagos,18,235000000
3,4,4,2,Terraced Duplexes,Ajah,Lagos,13,65000000
4,4,6,5,Detached Duplex,Lekki,Lagos,19,80000000
3,3,4,4,Block of Flats,Enugu,Enugu,14,50000000
5,5,5,4,Terraced Duplexes,Lekki,Lagos,19,41000000
4,5,5,2,Terraced Bungalow,Lekki,Lagos,16,63000000
1,1,1,2,Detached Duplex,Lekki,Lagos,5,8000000
4,4,5,4,Terraced Duplexes,Lekki,Lagos,17,54000000
5,5,5,4,Semi Detached Duplex,Life Camp,Abuja,19,112500000
4,4,5,4,Detached Duplex,Ajah,Lagos,17,46000000
3,3,4,4,Detached Bungalow,Ibadan,Oyo,14,20000000
4,4,4,3,Detached Duplex,Life Camp,Abuja,15,60000000
5,5,6,5,Detached Duplex,Enugu,Enugu,21,37000000
4,4,4,8,Block of Flats,Ogijo,Ogun,20,6500000
5,6,6,1,Detached Duplex,Magodo,Lagos,18,160000000
2,3,3,2,Detached Bungalow,Ipaja,Lagos,10,18000000
5,5,6,8,Detached Duplex,Owerri West,Imo,24,220000000
5,5,6,6,Detached Duplex,Magodo,Lagos,22,180000000
3,2,3,4,Detached Bungalow,Ikotun,Lagos,12,23000000
5,6,7,4,Semi Detached Duplex,Lekki,Lagos,22,200000000
5,6,5,1,Detached Duplex,Lekki,Lagos,17,250000000
3,3,3,6,Detached Bungalow,Apo,Abuja,15,45000000
5,6,6,4,Detached Duplex,Kaura,Abuja,21,130000000
4,5,4,4,Detached Bungalow,Ibadan,Oyo,17,25000000
3,4,4,4,Block of Flats,Ajah,Lagos,15,25000000
5,1,1,6,Detached Duplex,Magodo,Lagos,13,150000000
3,4,4,3,Terraced Duplexes,Ikoyi,Lagos,14,90000000
3,2,2,4,Detached Bungalow,Sango Ota,Ogun,11,8000000
2,2,3,1,Detached Bungalow,Ajah,Lagos,8,16000000
4,4,5,4,Terraced Duplexes,Jabi,Abuja,17,160000000
3,3,3,5,Block of Flats,Alimosho,Lagos,14,48000000
4,4,5,5,Semi Detached Duplex,Ibeju Lekki,Lagos,18,30000000
4,4,5,3,Terraced Duplexes,Gwarinpa,Abuja,16,55000000
2,5,5,4,Detached Bungalow,Ojo,Lagos,16,25000000
4,4,4,2,Detached Duplex,Ikorodu,Lagos,14,40000000
3,3,4,4,Detached Bungalow,Ajah,Lagos,14,29000000
1,5,5,4,Semi Detached Bungalow,Kubwa,Abuja,15,45000000
4,5,5,4,Detached Bungalow,Gwarinpa,Abuja,18,45000000
4,5,5,5,Detached Duplex,Lokogoma District,Abuja,19,55000000
3,2,2,4,Detached Bungalow,Agege,Lagos,11,13000000
6,6,5,4,Detached Duplex,Lekki,Lagos,21,130000000
4,4,5,1,Detached Bungalow,Ajah,Lagos,14,55000000
4,4,5,4,Detached Duplex,Ikeja,Lagos,17,75000000
5,5,5,3,Terraced Duplexes,Lekki,Lagos,18,120000000
3,3,4,4,Semi Detached Duplex,Lekki,Lagos,14,46000000
6,7,8,5,Block of Flats,Ifo,Ogun,26,25000000
5,4,4,4,Terraced Duplexes,Lekki,Lagos,17,110000000
2,2,2,1,Block of Flats,Ajah,Lagos,7,75000000
5,5,6,4,Detached Duplex,Ajah,Lagos,20,98000000
3,5,6,1,Detached Bungalow,Kurudu,Abuja,15,25000000
5,6,6,5,Detached Duplex,Lekki,Lagos,22,72000000
4,3,3,3,Detached Bungalow,Surulere,Lagos,13,65000000
2,5,4,2,Detached Bungalow,Ajah,Lagos,13,15000000
3,1,1,5,Block of Flats,Port Harcourt,Rivers,10,65000000
4,4,5,6,Detached Bungalow,Ikorodu,Lagos,19,19000000
4,4,4,3,Terraced Duplexes,Lekki,Lagos,15,51000000
6,6,8,5,Detached Duplex,Lekki,Lagos,25,350000000
3,2,2,4,Detached Bungalow,Ibadan,Oyo,11,13000000
2,2,2,4,Block of Flats,Ibadan,Oyo,10,22000000
7,7,8,4,Detached Duplex,Wuye,Abuja,26,150000000
4,6,5,2,Detached Duplex,Gbagada,Lagos,17,65000000
1,1,1,1,Block of Flats,Owerri Municipal,Imo,4,150000000
3,4,4,4,Detached Bungalow,Ifako-Ijaiye,Lagos,15,19000000
3,4,4,4,Detached Bungalow,Mowe Town,Ogun,15,10500000
3,3,3,4,Detached Duplex,Ikorodu,Lagos,13,35000000
6,6,6,4,Detached Duplex,Ibadan,Oyo,22,130000000
4,4,5,6,Detached Duplex,Ibadan,Oyo,19,60000000
2,2,3,2,Terraced Bungalow,Ajah,Lagos,9,35000000
2,2,2,8,Detached Bungalow,Ifako-Ijaiye,Lagos,14,12000000
4,6,5,1,Terraced Duplexes,Wuse 2,Abuja,16,200000000
3,5,5,4,Terraced Duplexes,Ajah,Lagos,17,28000000
5,5,6,6,Detached Duplex,Asaba,Delta,22,100000000
1,1,2,1,Block of Flats,Oredo,Edo,5,60000000
4,4,5,5,Semi Detached Duplex,Lekki,Lagos,18,265000000
5,6,7,4,Terraced Duplexes,Ikoyi,Lagos,22,350000000
5,5,6,6,Detached Duplex,Gwarinpa,Abuja,22,300000000
5,5,5,4,Detached Duplex,Ibeju Lekki,Lagos,19,91000000
4,5,6,4,Detached Duplex,Ikoyi,Lagos,19,260000000
4,4,5,4,Terraced Duplexes,Surulere,Lagos,17,70000000
6,6,7,5,Detached Duplex,Magodo,Lagos,24,140000000
4,4,4,7,Detached Duplex,Ibadan,Oyo,19,33000000
3,3,3,8,Block of Flats,Ojodu,Lagos,17,35000000
4,5,5,8,Detached Duplex,Durumi,Abuja,22,130000000
4,5,5,7,Detached Duplex,Lekki,Lagos,21,80000000
4,4,5,4,Detached Duplex,Durumi,Abuja,17,170000000
2,2,2,4,Block of Flats,Ifo,Ogun,10,35000000
6,6,7,6,Detached Duplex,Lekki,Lagos,25,280000000
5,5,6,4,Detached Duplex,Gwarinpa,Abuja,20,50000000
4,5,5,4,Detached Duplex,Life Camp,Abuja,18,89500000
4,4,4,2,Terraced Duplexes,Lekki,Lagos,14,110000000
5,6,6,5,Detached Duplex,Lekki,Lagos,22,285000000
3,6,8,1,Block of Flats,Ibadan,Oyo,18,30000000
1,5,5,4,Block of Flats,Garki,Abuja,15,15000000
2,5,5,4,Block of Flats,Ajah,Lagos,16,15500000
3,5,5,4,Block of Flats,Uyo,Akwa Ibom,17,55000000
7,7,8,5,Detached Duplex,Lekki,Lagos,27,140000000
5,6,7,4,Semi Detached Duplex,Ajah,Lagos,22,135000000
3,3,3,4,Block of Flats,Lekki,Lagos,13,370000000
6,6,6,4,Detached Duplex,Lekki,Lagos,22,400000000
5,7,7,4,Detached Duplex,Owerri Municipal,Imo,23,250000000
2,2,3,2,Terraced Bungalow,Mowe Ofada,Ogun,9,8500000
4,8,5,6,Detached Duplex,Lokogoma District,Abuja,23,83000000
5,5,6,8,Detached Duplex,Port Harcourt,Rivers,24,110000000
5,6,6,5,Detached Duplex,Lekki,Lagos,22,170000000
3,3,4,3,Terraced Duplexes,Lekki,Lagos,13,36000000
4,4,5,8,Detached Duplex,Port Harcourt,Rivers,21,70000000
2,5,5,4,Block of Flats,Ikeja,Lagos,16,60000000
6,6,7,1,Detached Duplex,Galadimawa,Abuja,20,120000000
3,3,4,1,Terraced Bungalow,Ikoyi,Lagos,11,160000000
3,2,3,4,Block of Flats,Ikorodu,Lagos,12,22500000
4,4,5,8,Detached Duplex,Gwarinpa,Abuja,21,150000000
9,9,9,4,Detached Duplex,Ikeja,Lagos,31,550000000
5,5,5,4,Semi Detached Duplex,Ibeju Lekki,Lagos,19,55000000
5,5,6,7,Detached Duplex,Magodo,Lagos,23,220000000
4,5,6,3,Detached Duplex,Ajah,Lagos,18,80000000
3,3,4,3,Detached Bungalow,Ajah,Lagos,13,22000000
4,5,5,6,Detached Duplex,Gwarinpa,Abuja,20,78500000
3,4,4,4,Terraced Duplexes,Apo,Abuja,15,55000000
3,5,5,4,Detached Bungalow,Kosofe,Lagos,17,50000000
4,5,5,4,Detached Duplex,Gwarinpa,Abuja,18,80000000
1,5,5,4,Block of Flats,Ibeju Lekki,Lagos,15,85000000
5,5,6,4,Semi Detached Duplex,Apo,Abuja,20,100000000
5,6,6,1,Detached Duplex,Gwarinpa,Abuja,18,150000000
4,5,5,4,Detached Duplex,Magodo,Lagos,18,125000000
2,2,2,4,Block of Flats,Lekki,Lagos,10,28000000
4,2,2,1,Detached Bungalow,Port Harcourt,Rivers,9,30000000
5,5,5,3,Semi Detached Bungalow,Ayobo,Lagos,18,8000000
2,2,3,2,Semi Detached Bungalow,Mowe Ofada,Ogun,9,8100000
7,5,5,4,Detached Duplex,Ibafo,Ogun,21,70000000
4,5,5,4,Block of Flats,Lekki,Lagos,18,90000000
6,5,5,4,Detached Duplex,Asokoro District,Abuja,20,250000000
4,5,5,4,Detached Bungalow,Apo,Abuja,18,48000000
4,5,5,4,Semi Detached Duplex,Jabi,Abuja,18,42000000
5,5,5,4,Detached Bungalow,Surulere,Lagos,19,75000000
6,6,7,5,Detached Duplex,Ikeja,Lagos,24,225000000
2,2,2,3,Terraced Bungalow,Ojo,Lagos,9,13000000
4,5,4,4,Terraced Duplexes,Lekki,Lagos,17,59000000
5,5,5,4,Semi Detached Bungalow,Ikeja,Lagos,19,120000000
5,5,6,4,Terraced Duplexes,Ikoyi,Lagos,20,1200000
3,4,4,3,Block of Flats,Yaba,Lagos,14,300000000
6,6,7,4,Detached Duplex,Owerri Municipal,Imo,23,55000000
5,5,6,8,Detached Duplex,Lekki,Lagos,24,140000000
3,3,3,4,Detached Duplex,Ikeja,Lagos,13,130000000
8,4,4,6,Detached Duplex,Owerri Municipal,Imo,22,130000000
4,5,6,4,Terraced Duplexes,Karmo,Abuja,19,55000000
4,4,5,6,Detached Bungalow,Oyigbo,Rivers,19,25000000
4,5,6,4,Terraced Duplexes,Maitama District,Abuja,19,200000000
4,5,5,4,Detached Duplex,Magodo,Lagos,18,120000000
4,4,5,4,Terraced Duplexes,Victoria Island (VI),Lagos,17,105000000
4,4,4,4,Semi Detached Duplex,Lekki,Lagos,16,200000000
3,3,4,2,Detached Bungalow,Agege,Lagos,12,40000000
4,5,5,4,Block of Flats,Ikorodu,Lagos,18,22000000
4,4,5,3,Semi Detached Duplex,Lekki,Lagos,16,185000000
3,4,4,2,Block of Flats,Ajah,Lagos,13,25500000
4,4,5,3,Terraced Duplexes,Lekki,Lagos,16,39500000
3,5,4,4,Block of Flats,Isheri North,Ogun,16,30000000
1,5,5,4,Semi Detached Bungalow,Ibeju Lekki,Lagos,15,10892250
2,4,4,5,Semi Detached Bungalow,Ikorodu,Lagos,15,7900000
3,3,4,4,Terraced Duplexes,Ajah,Lagos,14,20000000
5,5,6,6,Detached Duplex,Lekki,Lagos,22,225000000
4,4,5,4,Semi Detached Bungalow,Lekki,Lagos,17,40000000
6,9,9,1,Detached Duplex,Guzape District,Abuja,25,280000000
4,4,5,4,Semi Detached Duplex,Lugbe District,Abuja,17,55000000
6,7,7,5,Detached Duplex,Gwarinpa,Abuja,25,200000000
6,6,7,1,Detached Duplex,Port Harcourt,Rivers,20,70000000
4,5,5,1,Detached Bungalow,Port Harcourt,Rivers,15,40000000
4,4,5,3,Semi Detached Duplex,Victoria Island (VI),Lagos,16,135000000
5,5,5,4,Terraced Duplexes,Ibadan,Oyo,19,75000000
3,2,3,4,Semi Detached Bungalow,Ikorodu,Lagos,12,16000000
4,4,5,4,Semi Detached Duplex,Apo,Abuja,17,250000000
3,2,2,6,Detached Bungalow,Ado-Odo/Ota,Ogun,13,3500000
2,2,5,4,Block of Flats,Ajah,Lagos,13,23000000
4,4,5,8,Detached Duplex,Ibeju Lekki,Lagos,21,72000000
4,4,5,4,Semi Detached Duplex,Karmo,Abuja,17,68000000
4,7,8,4,Detached Duplex,Lekki,Lagos,23,160000000
5,5,6,4,Detached Bungalow,Port Harcourt,Rivers,20,15000000
2,5,2,2,Block of Flats,Ajah,Lagos,11,16000000
3,3,2,6,Detached Bungalow,Lugbe District,Abuja,14,12500000
1,1,1,4,Block of Flats,Oredo,Edo,7,40000000
5,5,6,4,Detached Duplex,Gwarinpa,Abuja,20,155000000
3,3,4,4,Terraced Duplexes,Enugu,Enugu,14,35000000
3,3,4,6,Semi Detached Duplex,Karshi,Abuja,16,20000000
4,4,5,4,Detached Duplex,Ibadan,Oyo,17,50000000
5,4,5,6,Detached Bungalow,Ibadan,Oyo,20,8000000
3,3,4,3,Terraced Duplexes,Gwarinpa,Abuja,13,26000000
4,4,6,3,Terraced Duplexes,Lekki,Lagos,17,65000000
6,5,5,2,Block of Flats,Ifo,Ogun,18,8000000
4,4,5,4,Terraced Duplexes,Gudu,Abuja,17,80000000
5,5,6,1,Detached Bungalow,Oluyole,Oyo,17,19000000
7,5,5,8,Detached Duplex,Lekki,Lagos,25,180000000
4,5,5,5,Semi Detached Duplex,Apo,Abuja,19,65000000
